director_name,actor_1_name,actor_2_name,actor_3_name,genres,Title
Yorgos Lanthimos , Tony McNamara , Olivia Colman, Emma Stone,Drama History Comedy,The Favourite
Andy Serkis , Rohan Chand, Christian Bale, Cate Blanchett,Adventure Drama,Mowgli  Legend of the Jungle
Diederik van Rooijen , Shay Mitchell, Grey Damon, Kirby Johnson,Horror Drama,The Possession of Hannah Grace
John McPhail , Ryan McHenry , Ella Hunt, Malcolm Cumming,Horror Comedy Fantasy,Anna and the Apocalypse
Josie Rourke , Saoirse Ronan, Margot Robbie, Jack Lowden,Drama History,Mary Queen of Scots
Peter Hedges /screenplay, Julia Roberts, Kathryn Newton, Courtney B. Vance,Drama,Ben Is Back
Bob Persichetti, Rodney Rothman directors, Phil Lord, Rodney Rothman (screenplay),Action Adventure Animation Science Fiction Comedy,Spider-Man  Into the Spider-Verse
Christian Rivers , Fran Walsh, Philippa Boyens (screenplay), Hugo Weaving,Adventure Fantasy,Mortal Engines
Clint Eastwood , Clint Eastwood, Bradley Cooper, Laurence Fishburne,Crime Drama Thriller,The Mule
Barry Jenkins /screenplay, Stephan James, Teyonah Parris, Regina King,Drama Romance,If Beale Street Could Talk
Rob Marshall , Emily Blunt, Lin-Manuel Miranda, Ben Whishaw,Fantasy Family Comedy,Mary Poppins Returns
James Wan , Will Beall , Jason Momoa, Amber Heard,Action Adventure Fantasy,Aquaman
Travis Knight , Hailee Steinfeld, John Cena, Jorge Lendeborg Jr.,Action Adventure Science Fiction,Bumblebee
Robert Zemeckis /screenplay, Steve Carell, Leslie Mann, Diane Kruger,Drama Comedy Fantasy,Welcome to Marwen
Peter Segal , Justin Zackham , Jennifer Lopez, Leah Remini,Romance Comedy,Second Act
Paweł Pawlikowski , Janusz Głowacki , Joanna Kulig, Tomasz Kot,Animation,Cold War
Etan Cohen /screenplay, John C. Reilly, Rebecca Hall, Ralph Fiennes,Mystery Adventure Comedy Crime,Holmes & Watson
Adam McKay /screenplay, Amy Adams, Steve Carell, Sam Rockwell,Drama History Comedy,Vice
Mimi Leder , Felicity Jones, Armie Hammer, Justin Theroux,Drama History,On the Basis of Sex
Karyn Kusama , Matt Manfredi , Nicole Kidman, Sebastian Stan,Thriller Crime Drama Action,Destroyer
David Slade , Fionn Whitehead, Will Poulter, Asim Chaudhry,Science Fiction Mystery Drama Thriller TV Movie,Black Mirror  Bandersnatch
